ride_id,booking_id,booking_date,booking_time,booking_status,customer_id,vehicle_id,pickup_location_id,drop_location_id,avg_vtat,avg_ctat,cancelled_ride_by_customer,customer_reason_id,cancelled_ride_by_driver,driver_reason_id,incomplete_ride,incomplete_reason_id,booking_value,ride_distance,driver_rating,customer_rating,payment_method
16,CNR4499383,2024-04-12,19:42:35,No Driver Found,CID5717521,V06,L140,L096,null,null,0,null,0,null,0,null,null,null,null,null,null
17,CNR9834201,2024-04-05,18:57:12,Incomplete,CID7891331,V02,L151,L021,3.10,28.20,0,null,0,null,1,R12,304.00,1.98,null,null,UPI
18,CNR8779845,2024-11-03,12:24:59,Completed,CID7444351,V01,L036,L090,8.90,31.10,0,null,0,null,0,null,2847.00,39.21,3.10,4.60,Debit Card
19,CNR2178654,2024-05-18,17:37:52,Cancelled by Driver,CID3631860,V04,L129,L174,9.20,null,0,null,1,R07,0,null,null,null,null,null,null
20,CNR3871541,2024-11-15,05:53:55,Completed,CID9849259,V04,L101,L126,8.90,41.00,0,null,0,null,0,null,282.00,8.36,3.80,4.40,UPI
21,CNR2877692,2024-02-04,18:08:04,Completed,CID5901711,V06,L032,L105,11.50,20.50,0,null,0,null,0,null,656.00,6.39,5.00,4.90,Uber Wallet
22,CNR9603633,2024-05-29,14:05:10,Completed,CID5856503,V01,L163,L149,2.00,19.40,0,null,0,null,0,null,134.00,46.66,3.80,4.40,Credit Card
23,CNR8087051,2024-07-13,19:53:15,Cancelled by Driver,CID9716528,V05,L107,L039,5.40,null,0,null,1,R06,0,null,null,null,null,null,null
24,CNR7823292,2024-06-07,19:21:10,Completed,CID9377721,V05,L109,L090,14.60,25.40,0,null,0,null,0,null,470.00,27.07,3.70,4.20,Cash
25,CNR9918895,2024-05-16,13:04:31,Completed,CID9520433,V01,L108,L111,6.70,20.50,0,null,0,null,0,null,187.00,12.16,4.90,4.30,UPI
26,CNR7401001,2024-10-02,03:10:35,Completed,CID9958715,V06,L027,L091,6.60,30.00,0,null,0,null,0,null,186.00,10.28,4.40,4.60,UPI
27,CNR2631310,2024-02-26,15:43:16,Completed,CID4355670,V03,L148,L067,10.00,35.80,0,null,0,null,0,null,70.00,44.42,4.10,4.40,UPI
28,CNR4218487,2024-09-10,13:02:42,Cancelled by Customer,CID3037053,V02,L110,L167,11.00,null,1,R04,0,null,0,null,null,null,null,null,null
29,CNR5333099,2024-09-12,09:14:57,Cancelled by Driver,CID5112050,V01,L001,L027,8.00,null,0,null,1,R08,0,null,null,null,null,null,null
30,CNR5969954,2024-01-24,10:47:57,Completed,CID5558118,V01,L173,L074,12.80,18.70,0,null,0,null,0,null,273.00,34.64,4.50,4.60,Uber Wallet
31,CNR4130953,2024-02-12,19:42:39,Incomplete,CID3196782,V06,L119,L161,6.40,10.50,0,null,0,null,1,R11,966.00,18.30,null,null,Debit Card
32,CNR6693125,2024-10-02,19:17:00,Cancelled by Driver,CID7364449,V01,L075,L161,5.40,null,0,null,1,R07,0,null,null,null,null,null,null
33,CNR9572979,2024-04-01,21:14:19,Completed,CID3474992,V05,L159,L110,12.20,42.30,0,null,0,null,0,null,251.00,20.91,4.20,3.60,Debit Card
34,CNR6444364,2024-09-18,21:06:36,Cancelled by Driver,CID8262635,V04,L100,L006,6.60,null,0,null,1,R07,0,null,null,null,null,null,null
35,CNR4862806,2024-08-02,07:17:07,Cancelled by Customer,CID7875150,V01,L151,L006,11.30,null,1,R03,0,null,0,null,null,null,null,null,null
36,CNR4674790,2024-09-30,13:10:50,Incomplete,CID4795905,V02,L031,L105,2.30,29.70,0,null,0,null,1,R12,453.00,19.24,null,null,Debit Card
37,CNR6866217,2024-06-16,00:44:47,Completed,CID7798304,V05,L031,L105,7.80,42.20,0,null,0,null,0,null,246.00,8.13,4.20,4.50,UPI
38,CNR4932611,2024-09-18,09:33:55,Completed,CID8795963,V01,L012,L074,8.80,25.20,0,null,0,null,0,null,237.00,2.96,3.90,3.30,UPI
39,CNR1572483,2024-05-04,21:26:59,Incomplete,CID6059557,V04,L131,L022,9.90,21.60,0,null,0,null,1,R12,1581.00,1.82,null,null,Cash
40,CNR6945858,2024-06-03,18:14:47,Completed,CID9079088,V04,L097,L051,4.10,25.10,0,null,0,null,0,null,379.00,33.04,4.20,4.50,Uber Wallet
41,CNR6584679,2024-10-03,22:20:34,Completed,CID4738537,V04,L068,L117,11.20,40.70,0,null,0,null,0,null,545.00,44.70,4.30,4.30,Cash
42,CNR6125653,2024-05-25,11:24:29,Completed,CID2808212,V04,L076,L136,3.00,35.40,0,null,0,null,0,null,479.00,7.38,4.20,4.60,UPI
43,CNR6092529,2024-03-04,17:46:46,Cancelled by Driver,CID5040634,V05,L007,L018,11.20,null,0,null,1,R07,0,null,null,null,null,null,null
44,CNR6339107,2024-11-10,05:13:57,Completed,CID7358763,V04,L128,L088,9.10,23.20,0,null,0,null,0,null,647.00,24.93,4.30,4.70,Uber Wallet
45,CNR6212544,2024-02-22,11:56:46,Cancelled by Customer,CID5387129,V01,L042,L050,15.80,null,1,R02,0,null,0,null,null,null,null,null,null
46,CNR1349015,2024-09-11,10:36:44,Cancelled by Driver,CID9386278,V01,L095,L014,4.30,null,0,null,1,R07,0,null,null,null,null,null,null
47,CNR9773309,2024-04-11,15:43:34,No Driver Found,CID9965847,V07,L006,L035,null,null,0,null,0,null,0,null,null,null,null,null,null
48,CNR2107544,2024-06-01,10:03:27,Completed,CID1266188,V06,L094,L117,11.40,42.10,0,null,0,null,0,null,125.00,25.16,4.30,5.00,Credit Card
49,CNR4171959,2024-05-09,10:44:30,Cancelled by Driver,CID8470723,V06,L084,L134,6.30,null,0,null,1,R06,0,null,null,null,null,null,null
50,CNR5316307,2024-07-30,12:02:26,Completed,CID1816553,V06,L164,L003,12.40,21.50,0,null,0,null,0,null,375.00,48.85,3.30,3.30,Cash
51,CNR3635865,2024-02-25,16:23:19,Completed,CID6477355,V01,L029,L176,11.70,33.00,0,null,0,null,0,null,310.00,24.41,4.60,3.80,Debit Card
52,CNR2497989,2024-02-09,11:15:59,Cancelled by Customer,CID5007066,V01,L074,L055,16.60,null,1,R04,0,null,0,null,null,null,null,null,null
53,CNR8946337,2024-03-02,04:59:03,Cancelled by Driver,CID6438326,V05,L150,L107,5.40,null,0,null,1,R06,0,null,null,null,null,null,null
54,CNR3740694,2024-08-27,18:22:02,Incomplete,CID5885514,V01,L012,L044,2.30,10.10,0,null,0,null,1,R12,370.00,13.85,null,null,Cash
55,CNR4660896,2024-03-08,09:28:38,Cancelled by Driver,CID5486947,V06,L034,L064,5.80,null,0,null,1,R07,0,null,null,null,null,null,null
56,CNR2513330,2024-03-20,09:59:11,Cancelled by Driver,CID7805280,V06,L001,L110,6.70,null,0,null,1,R06,0,null,null,null,null,null,null
57,CNR9252424,2024-01-25,12:39:21,Completed,CID9413620,V03,L172,L096,12.10,18.10,0,null,0,null,0,null,291.00,3.71,3.20,4.30,UPI
58,CNR3096031,2024-04-11,11:14:35,Completed,CID3101926,V01,L005,L142,5.80,24.30,0,null,0,null,0,null,114.00,32.98,4.30,4.50,Uber Wallet
59,CNR4141159,2024-06-17,20:25:47,Completed,CID6810411,V04,L168,L108,4.00,44.50,0,null,0,null,0,null,464.00,11.20,4.50,4.20,Cash
60,CNR6757829,2024-07-29,19:52:48,Completed,CID8433663,V05,L098,L101,3.40,27.10,0,null,0,null,0,null,160.00,45.40,4.00,5.00,Cash
61,CNR6204326,2024-12-22,10:53:20,Cancelled by Driver,CID9419495,V01,L091,L061,11.10,null,0,null,1,R08,0,null,null,null,null,null,null
62,CNR3347993,2024-12-21,21:40:00,Completed,CID4871438,V03,L038,L124,9.90,38.50,0,null,0,null,0,null,206.00,28.78,4.10,3.70,Cash
63,CNR6796311,2024-02-23,11:38:09,Incomplete,CID1880505,V04,L039,L117,5.90,17.20,0,null,0,null,1,R10,217.00,2.81,null,null,Credit Card
64,CNR3908312,2024-05-05,21:22:39,Completed,CID8787746,V02,L114,L106,8.10,37.30,0,null,0,null,0,null,633.00,17.34,4.50,4.90,Credit Card
65,CNR9416323,2024-11-08,17:01:10,Completed,CID1025742,V01,L032,L167,6.10,28.20,0,null,0,null,0,null,717.00,9.38,4.20,4.50,UPI
66,CNR2912296,2024-12-26,21:21:55,Completed,CID8094609,V05,L132,L134,6.00,26.70,0,null,0,null,0,null,151.00,11.90,4.90,4.50,UPI
67,CNR4611314,2024-09-05,07:44:18,Completed,CID6968311,V06,L154,L108,5.00,34.70,0,null,0,null,0,null,512.00,35.66,3.70,4.90,UPI
68,CNR2601752,2024-11-25,08:29:14,Cancelled by Customer,CID9283370,V05,L140,L063,12.00,null,1,R03,0,null,0,null,null,null,null,null,null
69,CNR5793527,2024-08-15,18:40:03,Cancelled by Driver,CID5705499,V06,L006,L137,3.20,null,0,null,1,R08,0,null,null,null,null,null,null
70,CNR4487090,2024-02-10,09:17:39,Completed,CID1210782,V06,L084,L026,9.60,39.10,0,null,0,null,0,null,1390.00,21.79,5.00,4.90,UPI
71,CNR5266935,2024-09-26,11:33:51,Cancelled by Driver,CID2831708,V06,L016,L121,3.90,null,0,null,1,R07,0,null,null,null,null,null,null
72,CNR1487489,2024-07-01,17:39:56,Completed,CID3403699,V02,L099,L075,3.90,23.00,0,null,0,null,0,null,224.00,7.86,4.10,4.20,Cash
73,CNR6351034,2024-10-19,16:24:50,Completed,CID2038230,V01,L168,L169,8.40,31.30,0,null,0,null,0,null,708.00,18.04,4.60,4.80,UPI
74,CNR7600870,2024-02-09,10:51:01,Completed,CID7289498,V01,L059,L054,7.70,43.70,0,null,0,null,0,null,153.00,15.18,4.20,3.60,Uber Wallet
75,CNR5444321,2024-03-31,12:37:12,Cancelled by Driver,CID3326946,V02,L160,L113,6.30,null,0,null,1,R09,0,null,null,null,null,null,null
76,CNR8509610,2024-12-11,17:05:36,Completed,CID8227993,V02,L057,L093,5.00,35.00,0,null,0,null,0,null,72.00,13.38,4.70,4.20,Cash
77,CNR6851549,2024-06-19,16:19:41,Incomplete,CID9560489,V05,L147,L128,8.90,15.60,0,null,0,null,1,R10,282.00,11.81,null,null,UPI
78,CNR3318044,2024-06-20,18:58:36,No Driver Found,CID4051792,V04,L001,L049,null,null,0,null,0,null,0,null,null,null,null,null,null
79,CNR3126177,2024-07-10,02:23:12,Completed,CID1851430,V06,L102,L141,10.90,43.60,0,null,0,null,0,null,696.00,30.90,4.70,3.70,UPI
80,CNR6453539,2024-02-06,21:27:00,Incomplete,CID6999817,V03,L107,L068,5.70,18.00,0,null,0,null,1,R12,936.00,14.91,null,null,Uber Wallet
81,CNR7449144,2024-09-30,12:34:51,Completed,CID8609350,V01,L056,L163,8.60,32.70,0,null,0,null,0,null,2169.00,44.25,4.40,4.30,Uber Wallet
82,CNR1970319,2024-09-20,13:09:16,Completed,CID6085619,V03,L095,L165,9.50,24.60,0,null,0,null,0,null,136.00,45.46,3.20,3.80,Uber Wallet
83,CNR4415815,2024-04-30,20:25:28,Completed,CID8351180,V04,L128,L143,4.60,38.90,0,null,0,null,0,null,214.00,2.91,4.10,4.70,UPI
84,CNR3899082,2024-06-04,20:38:07,Completed,CID5467225,V04,L003,L094,10.30,16.40,0,null,0,null,0,null,835.00,37.57,4.20,4.80,UPI
85,CNR3274519,2024-10-30,16:29:36,Cancelled by Driver,CID3829804,V03,L025,L047,6.00,null,0,null,1,R07,0,null,null,null,null,null,null
86,CNR3263958,2024-08-11,18:21:32,Completed,CID3231090,V05,L058,L011,2.60,36.20,0,null,0,null,0,null,705.00,40.18,3.90,4.80,UPI
87,CNR5822542,2024-05-21,17:39:58,No Driver Found,CID1628370,V07,L088,L032,null,null,0,null,0,null,0,null,null,null,null,null,null
88,CNR9652983,2024-10-08,08:52:57,Completed,CID4773175,V05,L013,L080,2.10,35.50,0,null,0,null,0,null,480.00,20.22,4.30,4.80,Debit Card
89,CNR2598306,2024-03-26,18:59:52,Cancelled by Customer,CID5704025,V06,L025,L015,14.40,null,1,R01,0,null,0,null,null,null,null,null,null
90,CNR3274827,2024-06-24,18:04:39,Completed,CID3134967,V04,L029,L115,7.50,41.70,0,null,0,null,0,null,707.00,44.76,4.80,4.40,UPI
91,CNR9139265,2024-03-28,19:20:01,Cancelled by Driver,CID4003339,V02,L069,L033,9.90,null,0,null,1,R08,0,null,null,null,null,null,null
92,CNR8036415,2024-09-27,20:16:53,Completed,CID9244184,V03,L153,L043,10.00,38.00,0,null,0,null,0,null,865.00,43.34,3.20,3.80,Cash
93,CNR8433849,2024-04-26,15:45:51,Completed,CID7659765,V02,L094,L056,10.80,40.00,0,null,0,null,0,null,768.00,5.97,4.30,4.80,Cash
94,CNR2948784,2024-05-19,18:47:16,Completed,CID7747807,V02,L139,L176,7.00,37.00,0,null,0,null,0,null,626.00,27.96,3.90,4.30,Uber Wallet
95,CNR1996806,2024-06-05,11:16:12,Completed,CID2293483,V04,L091,L016,9.20,40.40,0,null,0,null,0,null,443.00,21.19,4.20,5.00,UPI
96,CNR6241612,2024-01-07,16:21:31,Cancelled by Customer,CID5715130,V01,L013,L051,7.90,null,1,R03,0,null,0,null,null,null,null,null,null
97,CNR5222120,2024-04-19,14:14:27,Completed,CID2370613,V05,L012,L024,9.90,28.70,0,null,0,null,0,null,226.00,47.63,3.60,4.10,UPI
98,CNR6596872,2024-03-31,16:34:57,Completed,CID2589193,V01,L150,L143,12.80,30.60,0,null,0,null,0,null,449.00,24.40,3.30,4.10,UPI
99,CNR7149058,2024-03-26,19:13:05,Completed,CID7341591,V04,L173,L151,5.90,21.10,0,null,0,null,0,null,778.00,7.49,4.30,4.90,UPI
100,CNR5726463,2024-06-10,15:24:51,Completed,CID3407189,V02,L139,L176,14.70,18.80,0,null,0,null,0,null,361.00,24.44,4.30,4.80,UPI
101,CNR3975551,2024-08-16,17:05:19,Completed,CID2944423,V01,L077,L107,3.50,30.40,0,null,0,null,0,null,235.00,9.20,4.30,3.90,UPI
102,CNR8637930,2024-02-04,15:32:16,Completed,CID8137475,V05,L137,L021,8.60,15.90,0,null,0,null,0,null,186.00,28.09,4.20,4.40,Cash
103,CNR9935095,2024-06-24,18:46:34,Incomplete,CID7359331,V07,L082,L104,3.20,21.90,0,null,0,null,1,R11,544.00,3.37,null,null,Cash
104,CNR8893726,2024-03-23,11:31:18,No Driver Found,CID8335294,V02,L054,L031,null,null,0,null,0,null,0,null,null,null,null,null,null
105,CNR3975051,2024-07-21,10:45:00,Cancelled by Customer,CID5797043,V04,L051,L078,13.10,null,1,R03,0,null,0,null,null,null,null,null,null
106,CNR1984811,2024-09-22,06:39:39,Cancelled by Customer,CID6701334,V01,L031,L129,8.10,null,1,R02,0,null,0,null,null,null,null,null,null
107,CNR7036055,2024-05-26,22:36:05,Completed,CID7359512,V02,L036,L173,7.70,25.00,0,null,0,null,0,null,86.00,40.10,3.60,4.40,Cash
108,CNR3449107,2024-03-30,13:55:19,Cancelled by Driver,CID8684841,V01,L145,L022,8.10,null,0,null,1,R08,0,null,null,null,null,null,null
109,CNR6919653,2024-09-19,08:47:23,No Driver Found,CID5736754,V04,L174,L097,null,null,0,null,0,null,0,null,null,null,null,null,null
110,CNR8504461,2024-12-26,16:16:56,Completed,CID3984123,V06,L090,L023,8.30,43.70,0,null,0,null,0,null,234.00,42.50,3.70,4.90,Cash
111,CNR3712671,2024-06-28,10:22:29,Cancelled by Driver,CID5160108,V03,L094,L172,11.90,null,0,null,1,R09,0,null,null,null,null,null,null
112,CNR8819329,2024-11-30,18:36:50,Completed,CID6695773,V05,L169,L162,6.00,44.40,0,null,0,null,0,null,758.00,41.42,4.90,3.60,Cash
113,CNR3734278,2024-11-04,13:46:26,Incomplete,CID6462328,V01,L077,L086,7.90,16.70,0,null,0,null,1,R11,629.00,17.52,null,null,UPI
114,CNR2472864,2024-04-16,19:41:40,Completed,CID7156852,V01,L089,L118,12.50,26.30,0,null,0,null,0,null,273.00,31.69,4.40,4.80,UPI
115,CNR3239651,2024-09-12,05:52:14,Completed,CID9573465,V01,L176,L109,11.10,19.60,0,null,0,null,0,null,117.00,33.74,4.50,3.70,Debit Card
116,CNR2646387,2024-06-07,18:08:10,Completed,CID8652330,V05,L080,L022,13.30,15.80,0,null,0,null,0,null,955.00,36.82,3.70,3.70,UPI
117,CNR4724814,2024-06-01,15:55:36,Completed,CID1251463,V05,L125,L066,9.70,31.50,0,null,0,null,0,null,139.00,38.75,4.40,4.30,UPI
118,CNR2200152,2024-05-05,14:17:24,Completed,CID6635464,V04,L093,L137,13.30,30.70,0,null,0,null,0,null,255.00,17.07,4.30,4.40,Cash
119,CNR5060137,2024-01-15,17:05:26,Completed,CID2961093,V01,L135,L012,9.50,18.00,0,null,0,null,0,null,1212.00,19.18,4.30,4.30,UPI
120,CNR9291876,2024-07-08,17:50:10,Completed,CID9026677,V05,L151,L063,10.00,23.60,0,null,0,null,0,null,81.00,23.93,4.70,3.90,Debit Card
121,CNR4212658,2024-08-14,17:41:00,Completed,CID5774800,V01,L029,L165,3.60,24.20,0,null,0,null,0,null,940.00,29.09,4.20,4.60,UPI
122,CNR7677229,2024-07-31,17:07:36,Cancelled by Driver,CID8986725,V01,L069,L172,8.50,null,0,null,1,R09,0,null,null,null,null,null,null
123,CNR4415643,2024-05-08,16:37:21,Completed,CID4718297,V03,L141,L050,10.00,17.90,0,null,0,null,0,null,98.00,27.55,4.20,4.10,Cash
124,CNR4092218,2024-07-29,12:28:32,Completed,CID5726360,V06,L164,L095,5.90,15.50,0,null,0,null,0,null,724.00,14.00,4.10,4.20,Cash
125,CNR8034979,2024-08-09,16:41:35,Completed,CID1915443,V03,L076,L074,8.00,25.30,0,null,0,null,0,null,749.00,47.30,4.40,4.30,UPI
126,CNR7228014,2024-08-15,22:15:54,No Driver Found,CID3515824,V03,L088,L142,null,null,0,null,0,null,0,null,null,null,null,null,null
127,CNR1435581,2024-10-02,09:10:13,Completed,CID1856576,V01,L151,L017,11.50,37.40,0,null,0,null,0,null,244.00,14.59,4.10,4.80,UPI
128,CNR5373942,2024-05-12,01:09:07,No Driver Found,CID7792143,V01,L104,L065,null,null,0,null,0,null,0,null,null,null,null,null,null
129,CNR3434703,2024-02-20,18:51:34,Incomplete,CID3333217,V01,L149,L020,2.60,22.80,0,null,0,null,1,R12,351.00,8.68,null,null,UPI
130,CNR6987620,2024-05-26,20:45:58,Completed,CID3121337,V01,L162,L013,5.40,28.90,0,null,0,null,0,null,585.00,34.14,4.60,4.10,Debit Card
131,CNR4132145,2024-12-24,10:30:20,Completed,CID5140786,V01,L033,L167,6.40,44.70,0,null,0,null,0,null,554.00,31.79,4.30,4.60,Cash
132,CNR8207805,2024-06-07,17:11:59,Completed,CID6685791,V02,L086,L154,10.80,28.50,0,null,0,null,0,null,803.00,25.01,4.10,4.50,Credit Card
133,CNR1438443,2024-04-28,19:59:01,Completed,CID5468663,V04,L053,L003,9.40,24.80,0,null,0,null,0,null,388.00,17.56,4.20,4.70,UPI
134,CNR6129081,2024-01-26,18:13:59,Cancelled by Customer,CID2998238,V02,L150,L152,7.00,null,1,R05,0,null,0,null,null,null,null,null,null
135,CNR1361929,2024-01-18,23:04:30,Completed,CID9052724,V04,L168,L042,11.20,38.50,0,null,0,null,0,null,192.00,48.96,3.10,4.60,UPI
136,CNR2687237,2024-04-15,19:03:28,Completed,CID4887972,V04,L096,L104,9.00,39.10,0,null,0,null,0,null,79.00,32.91,4.40,3.80,Uber Wallet
137,CNR7486337,2024-12-19,20:42:59,No Driver Found,CID8581638,V04,L093,L092,null,null,0,null,0,null,0,null,null,null,null,null,null
138,CNR4269906,2024-01-22,18:23:40,Completed,CID9683944,V02,L084,L114,2.40,26.60,0,null,0,null,0,null,242.00,45.70,4.00,4.90,UPI
139,CNR1224347,2024-08-08,21:13:51,Cancelled by Customer,CID5493342,V05,L122,L109,13.40,null,1,R03,0,null,0,null,null,null,null,null,null
140,CNR1401386,2024-05-21,20:31:57,Completed,CID2154950,V04,L021,L013,5.40,32.60,0,null,0,null,0,null,323.00,38.32,4.40,3.70,Uber Wallet
141,CNR2013487,2024-08-17,12:35:03,Cancelled by Driver,CID4175153,V01,L016,L125,7.70,null,0,null,1,R06,0,null,null,null,null,null,null
142,CNR7409512,2024-06-02,21:27:23,Completed,CID5474366,V01,L075,L117,5.40,24.40,0,null,0,null,0,null,799.00,9.10,4.20,4.60,UPI
143,CNR7658099,2024-03-11,22:20:11,Cancelled by Customer,CID8951576,V03,L013,L130,19.10,null,1,R02,0,null,0,null,null,null,null,null,null
144,CNR1980045,2024-11-20,16:42:58,Completed,CID9418411,V06,L134,L042,2.90,39.30,0,null,0,null,0,null,134.00,49.26,4.10,4.90,UPI
145,CNR8584951,2024-10-23,10:50:53,Cancelled by Driver,CID2820460,V04,L090,L084,3.90,null,0,null,1,R07,0,null,null,null,null,null,null
146,CNR2607733,2024-08-10,18:36:43,Cancelled by Customer,CID5637874,V02,L035,L090,18.50,null,1,R02,0,null,0,null,null,null,null,null,null
147,CNR6693847,2024-05-06,19:24:18,Cancelled by Customer,CID6386344,V02,L111,L079,16.10,null,1,R03,0,null,0,null,null,null,null,null,null
148,CNR9749627,2024-11-13,06:51:43,Completed,CID3065827,V05,L109,L147,13.70,40.70,0,null,0,null,0,null,113.00,8.21,4.30,5.00,UPI
149,CNR1706908,2024-09-16,16:07:51,Incomplete,CID1807270,V04,L125,L036,2.30,19.60,0,null,0,null,1,R12,84.00,16.09,null,null,Uber Wallet
150,CNR6236514,2024-05-16,12:35:33,Completed,CID3761463,V01,L164,L134,12.10,32.50,0,null,0,null,0,null,81.00,11.94,4.00,4.50,UPI
151,CNR9048385,2024-02-15,19:11:02,Completed,CID5242973,V05,L061,L076,4.50,43.10,0,null,0,null,0,null,992.00,8.23,5.00,4.60,UPI
152,CNR1903168,2024-08-01,06:16:08,Completed,CID1051794,V06,L089,L144,3.60,26.50,0,null,0,null,0,null,513.00,49.50,4.30,4.90,UPI
153,CNR2922907,2024-05-02,19:16:35,Completed,CID4507250,V06,L017,L111,5.80,38.90,0,null,0,null,0,null,635.00,37.37,4.30,4.60,UPI
154,CNR7621341,2024-08-27,06:04:30,Completed,CID1429306,V07,L076,L070,6.90,17.00,0,null,0,null,0,null,242.00,35.38,4.40,4.90,UPI
155,CNR5803828,2024-10-20,12:47:05,Completed,CID1039074,V02,L017,L032,12.50,20.60,0,null,0,null,0,null,1114.00,34.81,4.10,4.20,Uber Wallet
156,CNR4868713,2024-06-25,23:08:22,Completed,CID2089650,V02,L048,L029,9.00,37.70,0,null,0,null,0,null,372.00,20.92,3.80,4.60,UPI
157,CNR2575334,2024-02-13,06:11:32,Cancelled by Driver,CID7330180,V02,L039,L036,6.20,null,0,null,1,R09,0,null,null,null,null,null,null
158,CNR3841045,2024-07-10,16:51:38,Completed,CID1210899,V04,L011,L176,3.50,40.20,0,null,0,null,0,null,387.00,23.39,4.30,4.70,Uber Wallet
159,CNR5265040,2024-06-10,07:38:34,Completed,CID3076700,V05,L047,L093,7.10,31.60,0,null,0,null,0,null,767.00,30.82,4.60,4.90,UPI
160,CNR8112878,2024-07-11,14:42:27,Completed,CID4809063,V01,L149,L116,7.10,24.40,0,null,0,null,0,null,447.00,21.31,4.50,4.10,UPI
161,CNR4617937,2024-06-20,07:14:32,Completed,CID7348314,V06,L159,L030,6.70,33.50,0,null,0,null,0,null,500.00,20.41,4.30,4.70,Credit Card
162,CNR7311169,2024-11-18,16:38:12,Cancelled by Driver,CID2529885,V03,L111,L170,7.20,null,0,null,1,R08,0,null,null,null,null,null,null
163,CNR7340396,2024-03-05,12:21:00,Completed,CID7334750,V04,L047,L031,3.70,38.90,0,null,0,null,0,null,446.00,25.94,4.90,4.30,Debit Card
164,CNR4259279,2024-01-12,09:19:16,Cancelled by Driver,CID7993999,V03,L070,L040,11.60,null,0,null,1,R09,0,null,null,null,null,null,null
165,CNR7554746,2024-05-17,01:08:21,Completed,CID3234126,V03,L053,L012,2.60,32.90,0,null,0,null,0,null,125.00,39.16,4.10,4.90,UPI
166,CNR9430550,2024-05-13,21:08:35,Completed,CID3901448,V05,L031,L158,11.40,17.20,0,null,0,null,0,null,419.00,23.79,4.30,4.70,Uber Wallet
167,CNR9984761,2024-01-04,06:58:58,Cancelled by Driver,CID1201304,V05,L142,L115,3.30,null,0,null,1,R07,0,null,null,null,null,null,null
168,CNR4112922,2024-06-19,22:02:03,Completed,CID8248967,V05,L018,L129,4.70,17.70,0,null,0,null,0,null,477.00,41.93,4.60,4.90,Cash
169,CNR5939223,2024-07-01,18:52:02,Cancelled by Driver,CID1109267,V05,L018,L091,5.80,null,0,null,1,R09,0,null,null,null,null,null,null
170,CNR7645307,2024-11-05,17:11:41,Cancelled by Driver,CID6238168,V05,L070,L140,8.00,null,0,null,1,R06,0,null,null,null,null,null,null
171,CNR4722464,2024-04-26,21:03:12,Completed,CID7557487,V01,L005,L058,11.30,33.00,0,null,0,null,0,null,352.00,6.71,4.20,4.70,UPI
